SMILES,IC50,pIC50,curated_SMILES
COc1ccc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)cc1,6.4,5.1938200260161125,COc1ccc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)cc1
CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(F)cc(O)cc3F)cccc2NC1=O,0.0086,8.065501548756432,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(F)cc(O)cc3F)cccc2NC1=O
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3c(Cl)cc(Cl)cc3n12,2.32,5.634512015109101,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3c(Cl)cc(Cl)cc3n12
C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,0.0011,8.958607314841775,C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O
CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(Cl)cc(O)cc3Cl)cccc2NC1=O,0.012,7.920818753952375,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(Cl)cc(O)cc3Cl)cccc2NC1=O
N#Cc1c(C(F)(F)F)cc(NCc2cccs2)n2c1nc1cc(Cl)c(Cl)cc12,0.43,6.366531544420414,N#Cc1c(C(F)(F)F)cc(NCc2cccs2)n2c1nc1cc(Cl)c(Cl)cc12
Clc1ccc2c(N3CCNCCN(c4ccnc5cc(Cl)ccc45)CCNCC3)ccnc2c1,1.6,5.795880017344075,Clc1ccc2c(N3CCNCCN(c4ccnc5cc(Cl)ccc45)CCNCC3)ccnc2c1
N#Cc1ccc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)cc1,0.21,6.6777807052660805,N#Cc1ccc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)cc1
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccn2ncc(-c3cccc(Cl)c3)c2n1,2.0,5.698970004336019,O=C(Nc1ccc(N2CCNCC2)cc1)c1ccn2ncc(-c3cccc(Cl)c3)c2n1
CCNCCNc1cc(C2CCCCC2)c(C#N)c2nc3ccccc3n12,2.62,5.581698708680254,CCNCCNc1cc(C2CCCCC2)c(C#N)c2nc3ccccc3n12
N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NC2CCC(N)CC2)n2c1nc1cc(Cl)cc(Cl)c12,1.92,5.716698771296451,N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NC2CCC(N)CC2)n2c1nc1cc(Cl)cc(Cl)c12
CCN(CC)CCCC(C)Nc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12,1.2,5.920818753952375,CCN(CC)CCCC(C)Nc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12
